,date,max-min
181,01-jul-1962,53.2
182,02-jul-1962,52.9
183,03-jul-1962,50.0
184,04-jul-1962,45.0
185,05-jul-1962,41.9
186,06-jul-1962,42.4
187,07-jul-1962,42.8
188,08-jul-1962,44.2
189,09-jul-1962,41.9
190,10-jul-1962,42.3
191,11-jul-1962,39.6
192,12-jul-1962,43.2
193,13-jul-1962,42.3
194,14-jul-1962,41.7
195,15-jul-1962,39.6
196,16-jul-1962,41.0
197,17-jul-1962,36.9
198,18-jul-1962,37.8
199,19-jul-1962,43.3
200,20-jul-1962,44.2
201,21-jul-1962,41.2
202,22-jul-1962,43.5
203,23-jul-1962,47.5
204,24-jul-1962,41.0
205,25-jul-1962,50.7
206,26-jul-1962,48.7
207,27-jul-1962,49.8
208,28-jul-1962,46.2
209,29-jul-1962,42.6
210,30-jul-1962,43.0
211,31-jul-1962,48.7
212,01-aug-1962,41.7
213,02-aug-1962,43.7
214,03-aug-1962,44.8
215,04-aug-1962,48.2
216,05-aug-1962,49.6
217,06-aug-1962,49.1
218,07-aug-1962,47.8
219,08-aug-1962,47.5
220,09-aug-1962,40.6
221,10-aug-1962,42.6
222,11-aug-1962,45.0
223,12-aug-1962,45.9
224,13-aug-1962,47.3
225,14-aug-1962,37.9
226,15-aug-1962,44.2
227,16-aug-1962,45.3
228,17-aug-1962,48.0
229,18-aug-1962,45.1
230,19-aug-1962,37.8
231,20-aug-1962,42.3
232,21-aug-1962,42.8
233,22-aug-1962,45.3
234,23-aug-1962,40.5
235,24-aug-1962,43.9
236,25-aug-1962,45.9
237,26-aug-1962,41.7
238,27-aug-1962,45.1
239,28-aug-1962,46.4
240,29-aug-1962,47.8
241,30-aug-1962,48.2
242,31-aug-1962,49.1
243,01-sep-1962,37.8
244,02-sep-1962,39.2
245,03-sep-1962,44.2
246,04-sep-1962,43.7
247,05-sep-1962,46.2
248,06-sep-1962,43.9
249,07-sep-1962,44.1
250,08-sep-1962,45.7
251,09-sep-1962,39.6
252,10-sep-1962,43.3
253,11-sep-1962,40.1
254,12-sep-1962,48.6
255,13-sep-1962,50.2
256,14-sep-1962,39.7
257,15-sep-1962,46.6
258,16-sep-1962,45.5
259,17-sep-1962,46.6
260,18-sep-1962,48.0
261,19-sep-1962,50.0
262,20-sep-1962,44.8
263,21-sep-1962,43.3
264,22-sep-1962,41.9
265,23-sep-1962,42.8
266,24-sep-1962,43.9
267,25-sep-1962,40.6
268,26-sep-1962,43.2
269,27-sep-1962,46.4
270,28-sep-1962,46.6
271,29-sep-1962,43.7
272,30-sep-1962,45.5
273,01-oct-1962,45.9
274,02-oct-1962,47.5
275,03-oct-1962,45.5
276,04-oct-1962,42.4
277,05-oct-1962,45.3
278,06-oct-1962,41.9
279,07-oct-1962,39.4
280,08-oct-1962,37.9
281,09-oct-1962,35.2
282,10-oct-1962,38.8
283,11-oct-1962,36.9
284,12-oct-1962,44.8
285,13-oct-1962,47.1
286,14-oct-1962,45.9
287,15-oct-1962,53.1
288,16-oct-1962,47.3
289,17-oct-1962,41.9
290,18-oct-1962,40.6
291,19-oct-1962,43.5
292,20-oct-1962,44.6
293,21-oct-1962,34.7
294,22-oct-1962,36.1
295,23-oct-1962,38.3
296,24-oct-1962,43.5
297,25-oct-1962,46.9
298,26-oct-1962,42.8
299,27-oct-1962,51.4
300,28-oct-1962,43.3
301,29-oct-1962,50.4
302,30-oct-1962,43.7
303,31-oct-1962,42.8
304,01-nov-1962,44.4
305,02-nov-1962,39.2
306,03-nov-1962,43.3
307,04-nov-1962,46.0
308,05-nov-1962,40.6
309,06-nov-1962,42.8
310,07-nov-1962,45.1
311,08-nov-1962,44.2
312,09-nov-1962,37.0
313,10-nov-1962,33.8
314,11-nov-1962,41.7
315,12-nov-1962,40.3
316,13-nov-1962,44.6
317,14-nov-1962,42.1
318,15-nov-1962,41.2
319,16-nov-1962,42.4
320,17-nov-1962,46.0
321,18-nov-1962,40.6
322,19-nov-1962,42.1
323,20-nov-1962,48.2
324,21-nov-1962,41.7
325,22-nov-1962,46.8
326,23-nov-1962,38.3
327,24-nov-1962,37.4
328,25-nov-1962,46.0
329,26-nov-1962,39.7
330,27-nov-1962,42.4
331,28-nov-1962,34.5
332,29-nov-1962,34.9
333,30-nov-1962,36.1
334,01-dec-1962,35.1
335,02-dec-1962,34.9
336,03-dec-1962,36.7
337,04-dec-1962,39.0
338,05-dec-1962,40.3
339,06-dec-1962,36.5
340,07-dec-1962,39.0
341,08-dec-1962,40.6
342,09-dec-1962,39.9
343,10-dec-1962,40.5
344,11-dec-1962,46.6
345,12-dec-1962,41.9
346,13-dec-1962,43.0
347,14-dec-1962,46.9
348,15-dec-1962,42.8
349,16-dec-1962,39.2
350,17-dec-1962,40.8
351,18-dec-1962,38.5
352,19-dec-1962,42.3
353,20-dec-1962,45.3
354,21-dec-1962,42.6
355,22-dec-1962,43.5
356,23-dec-1962,41.0
357,24-dec-1962,48.6
358,25-dec-1962,41.7
359,26-dec-1962,44.2
360,27-dec-1962,38.7
361,28-dec-1962,39.2
362,29-dec-1962,39.7
363,30-dec-1962,36.7
364,31-dec-1962,39.6
365,01-jan-1963,37.2
366,02-jan-1963,34.5
367,03-jan-1963,34.5
368,04-jan-1963,34.9
369,05-jan-1963,36.7
370,06-jan-1963,35.8
371,07-jan-1963,35.1
372,08-jan-1963,34.3
373,09-jan-1963,36.0
374,10-jan-1963,37.0
375,11-jan-1963,41.5
376,12-jan-1963,41.9
377,13-jan-1963,43.0
378,14-jan-1963,50.0
379,15-jan-1963,39.4
380,16-jan-1963,44.1
381,17-jan-1963,37.2
382,18-jan-1963,40.6
383,19-jan-1963,40.1
384,20-jan-1963,47.5
385,21-jan-1963,37.8
386,22-jan-1963,36.1
387,23-jan-1963,37.6
388,24-jan-1963,37.6
389,25-jan-1963,42.4
390,26-jan-1963,47.1
391,27-jan-1963,43.2
392,28-jan-1963,35.6
393,29-jan-1963,41.5
394,30-jan-1963,39.2
395,31-jan-1963,42.3
396,01-feb-1963,38.7
397,02-feb-1963,42.3
398,03-feb-1963,47.3
399,04-feb-1963,41.2
400,05-feb-1963,42.6
401,06-feb-1963,42.8
402,07-feb-1963,44.1
403,08-feb-1963,44.2
404,09-feb-1963,40.1
405,10-feb-1963,38.1
406,11-feb-1963,35.4
407,12-feb-1963,36.3
408,13-feb-1963,48.9
409,14-feb-1963,41.5
410,15-feb-1963,40.5
411,16-feb-1963,39.9
412,17-feb-1963,36.0
413,18-feb-1963,37.2
414,19-feb-1963,36.9
415,20-feb-1963,45.5
416,21-feb-1963,50.0
417,22-feb-1963,45.9
418,23-feb-1963,41.0
419,24-feb-1963,36.5
420,25-feb-1963,38.8
421,26-feb-1963,38.7
422,27-feb-1963,39.2
423,28-feb-1963,37.6
424,01-mar-1963,41.0
425,02-mar-1963,39.0
426,03-mar-1963,35.4
427,04-mar-1963,41.5
428,05-mar-1963,37.4
429,06-mar-1963,37.6
430,07-mar-1963,36.7
431,08-mar-1963,38.8
432,09-mar-1963,38.1
433,10-mar-1963,43.2
434,11-mar-1963,41.9
435,12-mar-1963,45.5
436,13-mar-1963,42.3
437,14-mar-1963,34.0
438,15-mar-1963,40.6
439,16-mar-1963,42.6
440,17-mar-1963,38.3
441,18-mar-1963,43.9
442,19-mar-1963,42.4
443,20-mar-1963,44.4
444,21-mar-1963,36.5
445,22-mar-1963,43.7
446,23-mar-1963,51.6
447,24-mar-1963,46.8
448,25-mar-1963,41.7
449,26-mar-1963,45.3
450,27-mar-1963,45.7
451,28-mar-1963,43.0
452,29-mar-1963,47.3
453,30-mar-1963,49.5
454,31-mar-1963,46.4
455,01-apr-1963,43.5
456,02-apr-1963,46.8
457,03-apr-1963,48.9
458,04-apr-1963,45.1
459,05-apr-1963,44.1
460,06-apr-1963,44.1
461,07-apr-1963,38.3
462,08-apr-1963,39.7
463,09-apr-1963,40.3
464,10-apr-1963,37.6
465,11-apr-1963,45.7
466,12-apr-1963,47.1
467,13-apr-1963,48.6
468,14-apr-1963,39.6
469,15-apr-1963,43.7
470,16-apr-1963,37.2
471,17-apr-1963,43.0
472,18-apr-1963,45.7
473,19-apr-1963,46.9
474,20-apr-1963,38.8
475,21-apr-1963,40.3
476,22-apr-1963,41.5
477,23-apr-1963,39.0
478,24-apr-1963,50.0
479,25-apr-1963,50.2
480,26-apr-1963,42.3
481,27-apr-1963,45.0
482,28-apr-1963,41.9
483,29-apr-1963,44.4
484,30-apr-1963,43.3
485,01-may-1963,45.1
486,02-may-1963,48.7
487,03-may-1963,48.2
488,04-may-1963,48.4
489,05-may-1963,47.3
490,06-may-1963,47.3
491,07-may-1963,38.1
492,08-may-1963,42.3
493,09-may-1963,44.4
494,10-may-1963,43.0
495,11-may-1963,43.5
496,12-may-1963,39.2
497,13-may-1963,41.5
498,14-may-1963,45.1
499,15-may-1963,47.1
500,16-may-1963,47.8
501,17-may-1963,50.4
502,18-may-1963,43.5
503,19-may-1963,45.5
504,20-may-1963,43.9
505,21-may-1963,46.6
506,22-may-1963,51.1
507,23-may-1963,48.0
508,24-may-1963,36.7
509,25-may-1963,37.8
510,26-may-1963,48.9
511,27-may-1963,50.4
512,28-may-1963,47.8
513,29-may-1963,51.1
514,30-may-1963,46.6
515,31-may-1963,46.8
516,01-jun-1963,48.0
517,02-jun-1963,46.2
518,03-jun-1963,50.5
519,04-jun-1963,50.2
520,05-jun-1963,45.9
521,06-jun-1963,44.8
522,07-jun-1963,44.8
523,08-jun-1963,46.6
524,09-jun-1963,50.0
525,10-jun-1963,47.1
526,11-jun-1963,50.0
527,12-jun-1963,46.8
528,13-jun-1963,50.7
529,14-jun-1963,53.1
530,15-jun-1963,47.5
531,16-jun-1963,47.1
532,17-jun-1963,41.5
533,18-jun-1963,46.4
534,19-jun-1963,50.9
535,20-jun-1963,42.8
536,21-jun-1963,43.0
537,22-jun-1963,48.0
538,23-jun-1963,41.9
539,24-jun-1963,43.5
540,25-jun-1963,42.3
541,26-jun-1963,48.7
542,27-jun-1963,45.7
543,28-jun-1963,38.3
544,29-jun-1963,39.2
545,30-jun-1963,42.8
546,01-jul-1963,41.9
547,02-jul-1963,43.0
548,03-jul-1963,42.6
549,04-jul-1963,38.8
550,05-jul-1963,46.0
551,06-jul-1963,45.3
552,07-jul-1963,46.4
553,08-jul-1963,48.2
554,09-jul-1963,45.5
555,10-jul-1963,43.3
556,11-jul-1963,41.9
557,12-jul-1963,42.6
558,13-jul-1963,47.1
559,14-jul-1963,41.4
560,15-jul-1963,43.2
561,16-jul-1963,47.1
562,17-jul-1963,45.5
563,18-jul-1963,46.4
564,19-jul-1963,48.0
565,20-jul-1963,43.0
566,21-jul-1963,39.0
567,22-jul-1963,46.6
568,23-jul-1963,37.0
569,24-jul-1963,47.3
570,25-jul-1963,47.7
571,26-jul-1963,48.4
572,27-jul-1963,46.0
573,28-jul-1963,46.2
574,29-jul-1963,46.6
575,30-jul-1963,45.0
576,31-jul-1963,44.6
577,01-aug-1963,48.0
578,02-aug-1963,47.8
579,03-aug-1963,48.4
580,04-aug-1963,40.8
581,05-aug-1963,43.5
582,06-aug-1963,48.0
583,07-aug-1963,48.9
584,08-aug-1963,44.4
585,09-aug-1963,44.2
586,10-aug-1963,45.3
587,11-aug-1963,45.9
588,12-aug-1963,43.0
589,13-aug-1963,45.3
590,14-aug-1963,49.5
591,15-aug-1963,46.4
592,16-aug-1963,43.2
593,17-aug-1963,45.3
594,18-aug-1963,45.9
595,19-aug-1963,47.8
596,20-aug-1963,43.9
597,21-aug-1963,43.3
598,22-aug-1963,42.8
599,23-aug-1963,44.6
600,24-aug-1963,43.3
601,25-aug-1963,41.4
602,26-aug-1963,41.4
603,27-aug-1963,45.9
604,28-aug-1963,45.0
605,29-aug-1963,41.5
606,30-aug-1963,40.6
607,31-aug-1963,41.0
608,01-sep-1963,45.5
609,02-sep-1963,40.5
610,03-sep-1963,43.2
611,04-sep-1963,43.3
612,05-sep-1963,45.0
613,06-sep-1963,40.3
614,07-sep-1963,45.9
615,08-sep-1963,46.2
616,09-sep-1963,46.2
617,10-sep-1963,37.9
618,11-sep-1963,43.5
619,12-sep-1963,51.6
620,13-sep-1963,49.1
621,14-sep-1963,53.4
622,15-sep-1963,51.6
623,16-sep-1963,59.0
624,17-sep-1963,54.5
625,18-sep-1963,39.6
626,19-sep-1963,37.4
627,20-sep-1963,34.7
628,21-sep-1963,37.4
629,22-sep-1963,36.1
630,23-sep-1963,38.5
631,24-sep-1963,45.3
632,25-sep-1963,51.4
633,26-sep-1963,46.4
634,27-sep-1963,47.7
635,28-sep-1963,44.2
636,29-sep-1963,42.1
637,30-sep-1963,42.6
638,01-oct-1963,43.0
639,02-oct-1963,39.6
640,03-oct-1963,44.2
641,04-oct-1963,48.0
642,05-oct-1963,46.9
643,06-oct-1963,48.9
644,07-oct-1963,41.5
645,08-oct-1963,45.3
646,09-oct-1963,45.3
647,10-oct-1963,44.6
648,11-oct-1963,42.1
649,12-oct-1963,38.5
650,13-oct-1963,44.6
651,14-oct-1963,44.8
652,15-oct-1963,44.8
653,16-oct-1963,43.2
654,17-oct-1963,41.4
655,18-oct-1963,37.8
656,19-oct-1963,45.3
657,20-oct-1963,48.6
658,21-oct-1963,45.5
659,22-oct-1963,48.7
660,23-oct-1963,36.1
661,24-oct-1963,38.7
662,25-oct-1963,37.0
663,26-oct-1963,36.1
664,27-oct-1963,35.8
665,28-oct-1963,34.0
666,29-oct-1963,39.2
667,30-oct-1963,39.9
668,31-oct-1963,45.7
669,01-nov-1963,41.2
670,02-nov-1963,36.1
671,03-nov-1963,41.7
672,04-nov-1963,40.1
673,05-nov-1963,43.3
674,06-nov-1963,41.5
675,07-nov-1963,43.2
676,08-nov-1963,43.7
677,09-nov-1963,46.4
678,10-nov-1963,36.9
679,11-nov-1963,37.9
680,12-nov-1963,43.2
681,13-nov-1963,43.9
682,14-nov-1963,41.5
683,15-nov-1963,47.3
684,16-nov-1963,41.0
685,17-nov-1963,50.0
686,18-nov-1963,37.9
687,19-nov-1963,46.8
688,20-nov-1963,48.6
689,21-nov-1963,39.2
690,22-nov-1963,39.2
691,23-nov-1963,35.8
692,24-nov-1963,43.5
693,25-nov-1963,41.2
694,26-nov-1963,41.2
695,27-nov-1963,37.4
696,28-nov-1963,45.7
697,29-nov-1963,46.6
698,30-nov-1963,43.7
699,01-dec-1963,42.6
700,02-dec-1963,39.2
701,03-dec-1963,37.0
702,04-dec-1963,34.5
703,05-dec-1963,36.5
704,06-dec-1963,34.9
705,07-dec-1963,35.6
706,08-dec-1963,35.6
707,09-dec-1963,41.7
708,10-dec-1963,43.0
709,11-dec-1963,37.6
710,12-dec-1963,38.1
711,13-dec-1963,38.8
712,14-dec-1963,37.0
713,15-dec-1963,39.0
714,16-dec-1963,36.9
715,17-dec-1963,35.8
716,18-dec-1963,40.5
717,19-dec-1963,41.4
718,20-dec-1963,43.9
719,21-dec-1963,46.9
720,22-dec-1963,44.8
721,23-dec-1963,38.1
722,24-dec-1963,42.6
723,25-dec-1963,45.3
724,26-dec-1963,44.4
725,27-dec-1963,43.7
726,28-dec-1963,35.2
727,29-dec-1963,41.9
728,30-dec-1963,40.1
729,31-dec-1963,43.7
730,01-jan-1964,45.0
731,02-jan-1964,34.2
732,03-jan-1964,33.8
733,04-jan-1964,38.7
734,05-jan-1964,34.7
735,06-jan-1964,34.5
736,07-jan-1964,40.3
737,08-jan-1964,37.4
738,09-jan-1964,37.9
739,10-jan-1964,39.2
740,11-jan-1964,40.3
741,12-jan-1964,35.4
742,13-jan-1964,39.6
743,14-jan-1964,45.3
744,15-jan-1964,35.1
745,16-jan-1964,34.5
746,17-jan-1964,36.0
747,18-jan-1964,37.9
748,19-jan-1964,39.9
749,20-jan-1964,39.9
750,21-jan-1964,41.4
751,22-jan-1964,36.0
752,23-jan-1964,43.2
753,24-jan-1964,44.8
754,25-jan-1964,44.2
755,26-jan-1964,42.4
756,27-jan-1964,40.8
757,28-jan-1964,42.3
758,29-jan-1964,40.1
759,30-jan-1964,43.3
760,31-jan-1964,40.8
761,01-feb-1964,39.9
762,02-feb-1964,36.0
763,03-feb-1964,43.2
764,04-feb-1964,42.3
765,05-feb-1964,43.5
766,06-feb-1964,46.2
767,07-feb-1964,40.1
768,08-feb-1964,36.9
769,09-feb-1964,40.6
770,10-feb-1964,44.8
771,11-feb-1964,42.1
772,12-feb-1964,36.3
773,13-feb-1964,35.1
774,14-feb-1964,43.2
775,15-feb-1964,41.2
776,16-feb-1964,40.5
777,17-feb-1964,39.0
778,18-feb-1964,37.0
779,19-feb-1964,36.1
780,20-feb-1964,34.9
781,21-feb-1964,39.7
782,22-feb-1964,36.5
783,23-feb-1964,41.7
784,24-feb-1964,38.3
785,25-feb-1964,39.7
786,26-feb-1964,36.9
787,27-feb-1964,40.5
788,28-feb-1964,44.1
789,29-feb-1964,47.8
790,01-mar-1964,39.4
791,02-mar-1964,37.8
792,03-mar-1964,37.4
793,04-mar-1964,39.9
794,05-mar-1964,42.6
795,06-mar-1964,42.8
796,07-mar-1964,42.1
797,08-mar-1964,45.3
798,09-mar-1964,43.0
799,10-mar-1964,39.6
800,11-mar-1964,43.9
801,12-mar-1964,37.6
802,13-mar-1964,44.4
803,14-mar-1964,41.9
804,15-mar-1964,45.5
805,16-mar-1964,42.8
806,17-mar-1964,40.6
807,18-mar-1964,43.5
808,19-mar-1964,38.3
809,20-mar-1964,37.0
810,21-mar-1964,44.1
811,22-mar-1964,42.4
812,23-mar-1964,38.3
813,24-mar-1964,45.3
814,25-mar-1964,46.0
815,26-mar-1964,45.0
816,27-mar-1964,36.1
817,28-mar-1964,35.4
818,29-mar-1964,36.5
819,30-mar-1964,36.1
820,31-mar-1964,39.4
821,01-apr-1964,38.5
822,02-apr-1964,45.1
823,03-apr-1964,41.9
824,04-apr-1964,45.3
825,05-apr-1964,52.2
826,06-apr-1964,44.8
827,07-apr-1964,49.1
828,08-apr-1964,42.8
829,09-apr-1964,48.0
830,10-apr-1964,48.6
831,11-apr-1964,44.6
832,12-apr-1964,44.8
833,13-apr-1964,46.0
834,14-apr-1964,43.0
835,15-apr-1964,41.7
836,16-apr-1964,42.3
837,17-apr-1964,46.4
838,18-apr-1964,46.8
839,19-apr-1964,44.6
840,20-apr-1964,43.7
841,21-apr-1964,47.7
842,22-apr-1964,44.2
843,23-apr-1964,49.3
844,24-apr-1964,38.7
845,25-apr-1964,36.7
846,26-apr-1964,35.8
847,27-apr-1964,35.4
848,28-apr-1964,45.0
849,29-apr-1964,47.3
850,30-apr-1964,46.8
851,01-may-1964,45.3
852,02-may-1964,38.3
853,03-may-1964,42.8
854,04-may-1964,44.8
855,05-may-1964,43.7
856,06-may-1964,40.3
857,07-may-1964,41.7
858,08-may-1964,45.3
859,09-may-1964,41.9
860,10-may-1964,41.5
861,11-may-1964,36.0
862,12-may-1964,43.5
863,13-may-1964,46.2
864,14-may-1964,53.8
865,15-may-1964,48.4
866,16-may-1964,45.9
867,17-may-1964,47.8
868,18-may-1964,48.4
869,19-may-1964,48.6
870,20-may-1964,44.6
871,21-may-1964,43.3
872,22-may-1964,40.8
873,23-may-1964,46.0
874,24-may-1964,49.5
875,25-may-1964,50.5
876,26-may-1964,45.9
877,27-may-1964,44.2
878,28-may-1964,41.5
879,29-may-1964,41.4
880,30-may-1964,43.0
881,31-may-1964,45.5
882,01-jun-1964,40.3
883,02-jun-1964,39.9
884,03-jun-1964,48.7
885,04-jun-1964,43.3
886,05-jun-1964,40.5
887,06-jun-1964,43.7
888,07-jun-1964,48.0
889,08-jun-1964,44.8
890,09-jun-1964,36.5
891,10-jun-1964,40.1
892,11-jun-1964,40.8
893,12-jun-1964,35.2
894,13-jun-1964,41.2
895,14-jun-1964,46.0
896,15-jun-1964,47.8
897,16-jun-1964,53.4
898,17-jun-1964,42.8
899,18-jun-1964,47.5
900,19-jun-1964,51.1
901,20-jun-1964,52.9
902,21-jun-1964,46.8
903,22-jun-1964,44.4
904,23-jun-1964,42.4
905,24-jun-1964,49.1
906,25-jun-1964,49.3
907,26-jun-1964,49.3
908,27-jun-1964,41.7
909,28-jun-1964,45.0
910,29-jun-1964,47.5
911,30-jun-1964,50.4
912,01-jul-1964,48.4
913,02-jul-1964,45.7
914,03-jul-1964,49.5
915,04-jul-1964,52.9
916,05-jul-1964,52.0
917,06-jul-1964,43.9
918,07-jul-1964,42.1
919,08-jul-1964,46.9
920,09-jul-1964,45.1
921,10-jul-1964,44.1
922,11-jul-1964,39.4
923,12-jul-1964,44.1
924,13-jul-1964,47.1
925,14-jul-1964,38.7
926,15-jul-1964,43.5
927,16-jul-1964,43.5
928,17-jul-1964,43.5
929,18-jul-1964,40.1
930,19-jul-1964,42.1
931,20-jul-1964,39.4
932,21-jul-1964,42.8
933,22-jul-1964,50.2
934,23-jul-1964,46.9
935,24-jul-1964,45.9
936,25-jul-1964,44.1
937,26-jul-1964,47.3
938,27-jul-1964,52.7
939,28-jul-1964,41.2
940,29-jul-1964,42.6
941,30-jul-1964,48.9
942,31-jul-1964,43.3
943,01-aug-1964,44.8
944,02-aug-1964,44.2
945,03-aug-1964,46.8
946,04-aug-1964,46.4
947,05-aug-1964,38.7
948,06-aug-1964,45.3
949,07-aug-1964,41.9
950,08-aug-1964,45.9
951,09-aug-1964,48.9
952,10-aug-1964,44.6
953,11-aug-1964,39.7
954,12-aug-1964,49.6
955,13-aug-1964,47.7
956,14-aug-1964,47.8
957,15-aug-1964,43.2
958,16-aug-1964,38.3
959,17-aug-1964,41.4
960,18-aug-1964,44.4
961,19-aug-1964,46.8
962,20-aug-1964,52.5
963,21-aug-1964,48.6
964,22-aug-1964,51.4
965,23-aug-1964,38.3
966,24-aug-1964,41.5
967,25-aug-1964,37.4
968,26-aug-1964,40.8
969,27-aug-1964,44.8
970,28-aug-1964,45.5
971,29-aug-1964,51.6
972,30-aug-1964,52.0
973,31-aug-1964,49.8
974,01-sep-1964,39.9
975,02-sep-1964,39.9
976,03-sep-1964,43.3
977,04-sep-1964,45.1
978,05-sep-1964,43.7
979,06-sep-1964,47.3
980,07-sep-1964,49.1
981,08-sep-1964,45.0
982,09-sep-1964,41.9
983,10-sep-1964,36.9
984,11-sep-1964,48.0
985,12-sep-1964,46.4
986,13-sep-1964,36.3
987,14-sep-1964,41.4
988,15-sep-1964,44.2
989,16-sep-1964,46.4
990,17-sep-1964,45.1
991,18-sep-1964,46.6
992,19-sep-1964,45.9
993,20-sep-1964,47.8
994,21-sep-1964,46.8
995,22-sep-1964,36.0
996,23-sep-1964,41.4
997,24-sep-1964,40.3
998,25-sep-1964,42.6
999,26-sep-1964,48.6
1000,27-sep-1964,50.9
1001,28-sep-1964,49.1
1002,29-sep-1964,50.9
1003,30-sep-1964,48.9
1004,01-oct-1964,49.6
